Text 1	Text 2	Text 3	Sound 3	Text 4	Category 1	Category 2
请坐。	请坐。	Assieds-toi (poli).	ccb9f976f79e02506188f59022649f1f.m4a	&#86;&#111;&#99;&#97;&#98;&#117;&#108;&#97;&#105;&#114;&#101; :|&#35831; [&#113;&#464;&#110;&#103;] &#105;&#110;&#118;&#105;&#116;&#101;&#114; &#113;&#113;&#110; &#224; &#102;&#97;&#105;&#114;&#101; &#113;&#113;&#99;&#104;, &#112;&#111;&#117;&#114;&#114;&#105;&#101;&#122;-&#118;&#111;&#117;&#115;..., &#112;&#111;&#117;&#114;&#114;&#97;&#105;&#115;-&#106;&#101;...	1	
你在家请谁？	你在家请谁？	Qui invites-tu à la maison?	fb720eb9e5f6e77e6519b99335312fcf.m4a	&#86;&#111;&#99;&#97;&#98;&#117;&#108;&#97;&#105;&#114;&#101; :|&#35831; [&#113;&#464;&#110;&#103;] &#105;&#110;&#118;&#105;&#116;&#101;&#114; &#113;&#113;&#110;	1	
“五”不是“我”。	“五”不是“我”。	« [5] » n'est pas « [je] ».	bfe295145ba9850995db356fd4b2eec6.m4a		0	
二零一五年	二零一五年	2015 (année)	7351ba7492dd07b3f2c8ca4d160f852e.m4a	&#86;&#111;&#99;&#97;&#98;&#117;&#108;&#97;&#105;&#114;&#101; :|&#20108; [&#232;&#114;] &#100;&#101;&#117;&#120; (&#111;&#114;&#100;&#105;&#110;&#97;&#108;) (&#99;&#108;&#233; 7)|&#38646; [&#108;&#237;&#110;&#103;] &#122;&#233;&#114;&#111;|&#19968; [&#121;&#299;] &#117;&#110;, (&#99;&#108;&#233; 1)|&#20116; [&#119;&#468;] |&#24180; [&#110;&#105;&#225;&#110;] &#97;&#110;&#110;&#233;&#101;	5	
二零一五年十月十九日	二零一五年十月十九日	19 octobre 2015	f3965389c1f5148ab6834da37278db0f.m4a	&#86;&#111;&#99;&#97;&#98;&#117;&#108;&#97;&#105;&#114;&#101; :|&#21313;&#26376; [&#115;&#104;&#237;&#121;&#117;&#232;] &#111;&#99;&#116;&#111;&#98;&#114;&#101;|&#21313;　 [&#115;&#104;&#237;] (&#99;&#108;&#233; 24)|&#26376;　 [&#121;&#117;&#232;] &#109;&#111;&#105;&#115;, &#108;&#117;&#110;&#101;|&#20061;　 [&#106;&#105;&#468;] |&#26085;　 [&#114;&#236;] &#106;&#111;&#117;&#114;, &#115;&#111;&#108;&#101;&#105;&#108;, (&#99;&#108;&#233; 72)	5	
滚！	滚！	Casse-toi!	51e4e2661bdd2da692e0a4e2d0f00c43.m4a	&#86;&#111;&#99;&#97;&#98;&#117;&#108;&#97;&#105;&#114;&#101; :|&#28378; [&#103;&#468;&#110;] &#114;&#111;&#117;&#108;&#101;&#114; [&#105;&#110;&#116;&#114;&#97;&#110;&#115;&#105;&#116;&#105;&#102;]	1	
你好吗？	你好吗？	Comment ça va?	bb0b6bc45375143826f72439e050743e.m4a		0	
你们在家里吗？	你们在家里吗？	Vous [plur.] êtes à la maison?	4f83dce156e3b889787f0798ace6274b.m4a	&#86;&#111;&#99;&#97;&#98;&#117;&#108;&#97;&#105;&#114;&#101; :|&#20320;&#20204; [&#110;&#464;&#109;&#101;&#110;] &#118;&#111;&#117;&#115; (&#112;&#108;&#117;&#114;&#105;&#101;&#108;)|&#21527;　 [&#109;&#97;] [&#105;&#110;&#116;&#101;&#114;&#114;&#111;&#103;&#97;&#116;&#105;&#111;&#110;]	2	
我们很好。	我们很好。	Nous allons (très) bien.	3f5b1f64a42a23dab389a8b85946288d.m4a		0	
十三	十三	13	4a1cecc8381860a57bd1981034869610.m4a	&#86;&#111;&#99;&#97;&#98;&#117;&#108;&#97;&#105;&#114;&#101; :|&#19977; [&#115;&#257;&#110;] 	1	
四十四	四十四	44	12956cc5cc94e91338867018bbd0e094.m4a	&#86;&#111;&#99;&#97;&#98;&#117;&#108;&#97;&#105;&#114;&#101; :|&#22235; [&#115;&#236;] 	1	
她二十五岁。	她二十五岁。	Elle a 25 ans.	a10a0f9c7612f8164b81efc7e688a9dd.m4a	&#86;&#111;&#99;&#97;&#98;&#117;&#108;&#97;&#105;&#114;&#101; :|&#22905; [&#116;&#257;] &#101;&#108;&#108;&#101;|&#23681; [&#115;&#117;&#236;] &#97;&#110;&#110;&#233;&#101; (&#100;'&#226;&#103;&#101;)	2	
你几岁？	你几岁？	Tu as quel âge? (familier, ou enfant)	9a0fed8a53a14960096365d88a0e5c13.m4a	&#86;&#111;&#99;&#97;&#98;&#117;&#108;&#97;&#105;&#114;&#101; :|&#20960; [&#106;&#464;] &#99;&#111;&#109;&#98;&#105;&#101;&#110;? (&#112;&#101;&#116;&#105;&#116; &#110;&#111;&#109;&#98;&#114;&#101;)	1	
你多大岁数？	你多大岁数？	Tu as quel âge? (plus formel)	0e38e0f4fc92d2292f7dfe70e0e4b3d8.m4a	&#86;&#111;&#99;&#97;&#98;&#117;&#108;&#97;&#105;&#114;&#101; :|&#22810;&#22823; [&#100;&#363;&#111;&#100;&#224;] &#99;&#111;&#109;&#98;&#105;&#101;&#110; (&#103;&#114;&#97;&#110;&#100;)? (&#113;&#117;&#97;&#110;&#116;&#105;&#116;&#233;, &#226;&#103;&#101;, &#116;&#97;&#105;&#108;&#108;&#101;)	1	
他们的岁数很大。	他们的岁数很大。	Ils sont âgés. (litt. Leur âge est grand [avancé])	59e29d41777e88c5c192f2ccda16f5f8.m4a	&#86;&#111;&#99;&#97;&#98;&#117;&#108;&#97;&#105;&#114;&#101; :|&#20182;&#20204;&#30340; [&#116;&#257;&#109;&#101;&#110;&#100;&#101;] &#108;&#101;&#117;&#114; (&#112;&#111;&#115;&#115;&#101;&#115;&#115;&#101;&#117;&#114; &#109;&#97;&#115;&#99;&#117;&#108;&#105;&#110; &#111;&#117; &#109;&#117;&#108;&#116;&#105;&#112;&#108;&#101;)|&#23681;&#25968;　 [&#115;&#117;&#236;&#115;&#104;&#249;] &#226;&#103;&#101;|&#24456;　　 [&#104;&#283;&#110;] &#116;&#114;&#232;&#115; (&#115;&#101;&#110;&#115; &#102;&#97;&#105;&#98;&#108;&#101;, &#112;&#111;&#117;&#114; &#113;&#117;&#97;&#108;&#105;&#102;&#105;&#101;&#114; &#117;&#110; &#97;&#116;&#116;&#114;&#105;&#98;&#117;&#116; &#100;&#101; &#102;&#97;&#231;&#111;&#110; &#97;&#98;&#115;&#111;&#108;&#117;&#101;)	3	
我们是你们的朋友。	我们是你们的朋友。	Nous sommes vos amis (adressé à plusieurs personnes).	d5bddeef88cab3f667fa8ef9f59aba93.m4a	&#86;&#111;&#99;&#97;&#98;&#117;&#108;&#97;&#105;&#114;&#101; :|&#20320;&#20204;&#30340; [&#110;&#464;&#109;&#101;&#110;&#100;&#101;] &#118;&#111;&#116;&#114;&#101;, &#118;&#111;&#115; (&#112;&#108;&#117;&#114;&#105;&#101;&#108;)|&#26379;&#21451;　 [&#112;&#233;&#110;&#103;&#121;&#466;&#117;] &#97;&#109;&#105;	2	
她们不是朋友。	她们不是朋友。	Elles ne sont pas amies.	6c3d429a90de948ba81dddf8484195a0.m4a	&#86;&#111;&#99;&#97;&#98;&#117;&#108;&#97;&#105;&#114;&#101; :|&#22905;&#20204; [&#116;&#257;&#109;&#101;&#110;] &#101;&#108;&#108;&#101;&#115;	1	
我是你的朋友。	我是你的朋友。	Je suis ton ami(e).	2cb8b11c20f4401e95ba564e85d0aa45.m4a	&#86;&#111;&#99;&#97;&#98;&#117;&#108;&#97;&#105;&#114;&#101; :|&#20320;&#30340; [&#110;&#464;&#100;&#101;] &#116;&#111;&#110;, &#116;&#101;&#115;	1	
我是学生。	我是学生。	Je suis étudiant(e).	9d9749882aa9894387eff076de2d4940.m4a		0	
我是一个法国学生。	我是一个法国学生。	Je suis un(e) étudiant(e) français(e) (litt. de France).	9fa462aceaf48a9c726553f64d673da4.m4a	&#86;&#111;&#99;&#97;&#98;&#117;&#108;&#97;&#105;&#114;&#101; :|&#27861;&#22269; [&#102;&#462;&#103;&#117;&#243;] &#70;&#114;&#97;&#110;&#99;&#101;|&#23398;&#29983; [&#120;&#117;&#233;&#115;&#104;&#233;&#110;&#103;] &#233;&#116;&#117;&#100;&#105;&#97;&#110;&#116;, &#233;&#108;&#232;&#118;&#101;	2	
你是哪国人？我是德国人，你呢？	你是哪国人？我是德国人，你呢？	Tu es de quel pays? Je suis allemand, et toi?	c35ed894c22a1c55ba2cc017aeda0573.m4a	&#86;&#111;&#99;&#97;&#98;&#117;&#108;&#97;&#105;&#114;&#101; :|&#21738;　　 [&#110;&#462;] &#108;&#101;&#113;&#117;&#101;&#108;?|&#22269;　　 [&#103;&#117;&#243;] &#112;&#97;&#121;&#115;|&#20154;　　 [&#114;&#233;&#110;] &#117;&#110;&#101; &#112;&#101;&#114;&#115;&#111;&#110;&#110;&#101;|&#24503;&#22269;　 [&#100;&#233;&#103;&#117;&#243;] &#65;&#108;&#108;&#101;&#109;&#97;&#103;&#110;&#101;|&#24503;&#22269;&#20154; [&#100;&#233;&#103;&#117;&#243;&#114;&#233;&#110;] &#117;&#110; &#65;&#108;&#108;&#101;&#109;&#97;&#110;&#100;|&#21602;　　 [&#110;&#101;] (&#112;&#97;&#114;&#116;&#105;&#99;&#117;&#108;&#101; &#102;&#105;&#110;&#97;&#108;&#101; &#112;&#111;&#117;&#114; &#114;&#101;&#116;&#111;&#117;&#114;&#110;&#101;&#114; &#117;&#110;&#101; &#113;&#117;&#101;&#115;&#116;&#105;&#111;&#110;), &#100;&#105;&#115;-&#109;&#111;&#105;	6	
他们在一个法国朋友的家里。	他们在一个法国朋友的家里。	Ils sont chez un ami français (litt. dans la maison d'un ami français).	e70ac0dec2366dc70408ec74e2da43ba.m4a	&#86;&#111;&#99;&#97;&#98;&#117;&#108;&#97;&#105;&#114;&#101; :|&#20182;&#20204; [&#116;&#257;&#109;&#101;&#110;] &#105;&#108;&#115;, &#101;&#117;&#120;|&#20010;　 [&#103;&#232;] {&#115;&#112;&#233;&#99;&#105;&#102;&#105;&#99;&#97;&#116;&#105;&#102; &#103;&#233;&#110;&#233;&#114;&#97;&#108;}|&#30340;　 [&#100;&#101;] [&#112;&#97;&#114;&#116;&#105;&#99;&#117;&#108;&#101; &#114;&#101;&#108;&#105;&#97;&#110;&#116; &#100;&#233;&#116;&#101;&#114;&#109;&#105;&#110;&#97;&#110;&#116; &#101;&#116; &#100;&#233;&#116;&#101;&#114;&#109;&#105;&#110;&#233;]	3	
我的学生们是德国人。	我的学生们是德国人。	Mes étudiants sont allemands.	01054282c6906d46cc0583dc5f7722c6.m4a	&#86;&#111;&#99;&#97;&#98;&#117;&#108;&#97;&#105;&#114;&#101; :|&#25105;&#30340; [&#119;&#466;&#100;&#101;] &#109;&#111;&#110;, &#109;&#101;&#115;|&#20204;　 [&#109;&#101;&#110;] [&#115;&#117;&#102;&#102;&#105;&#120;&#101; &#100;&#117; &#112;&#108;&#117;&#114;&#105;&#101;&#108;]	2	
我有一个家。	我有一个家。	J’ai une famille/maison.	f709d8391cb7ed7252dd6f5a577f34f5.m4a		0	
你们是我的学生。	你们是我的学生。	Vous êtes mes étudiants.	c84f18ee42903c26af315a3f3b292f52.m4a		0	
我是你们的中文老师。	我是你们的中文老师。	Je suis votre professeur de chinois.	0e3ace0fd4c3a2990ead59c3d89960e9.m4a		0	
你们是我的德文老师。	你们是我的德文老师。	Vous êtes mes professeurs d’allemand.	56d6a8a2ab494c65a70329c875a719b7.m4a	&#86;&#111;&#99;&#97;&#98;&#117;&#108;&#97;&#105;&#114;&#101; :|&#32769;&#24072; [&#108;&#462;&#111;&#115;&#104;&#299;] &#112;&#114;&#111;&#102;&#101;&#115;&#115;&#101;&#117;&#114;	1	
我们在大学学法文。	我们在大学学法文。	Nous apprenons le français à l’université.	91562f44089f238cfe316d937c2b1bcc.m4a	&#86;&#111;&#99;&#97;&#98;&#117;&#108;&#97;&#105;&#114;&#101; :|&#22823;&#23398; [&#100;&#224;&#120;&#117;&#233;] &#117;&#110;&#105;&#118;&#101;&#114;&#115;&#105;&#116;&#233;|&#23398;　 [&#120;&#117;&#233;] &#97;&#112;&#112;&#114;&#101;&#110;&#100;&#114;&#101;, &#233;&#116;&#117;&#100;&#105;&#101;&#114;, &#115;&#117;&#102;&#102;&#105;&#120;&#101; -&#111;&#108;&#111;&#103;&#105;&#101;|&#25991;　 [&#119;&#233;&#110;] &#99;&#117;&#108;&#116;&#117;&#114;&#101;,&#108;&#97;&#110;&#103;&#117;&#101;	3	
我是大学的学生。	我是大学的学生。	Je suis étudiant(e) de l’université.	5cf11f0aeea4b88ff5c5425fe7a8a6c9.m4a		0	
你的家里有几个人？	你的家里有几个人？	Il y a combien de personnes dans ta famille ?	868e30f7b6c9bafca03416ed837960d6.m4a	&#86;&#111;&#99;&#97;&#98;&#117;&#108;&#97;&#105;&#114;&#101; :|&#20960;&#20010; [&#106;&#464;&#103;&#232;] &#99;&#111;&#109;&#98;&#105;&#101;&#110; (&#112;&#101;&#116;&#105;&#116; &#110;&#111;&#109;&#98;&#114;&#101;)	1	
法国是中国的朋友。	法国是中国的朋友。	La France est l’amie de la Chine.	c9e9be21901e984191a5ef3c91fdd99f.m4a		0	
我的生日是十月九日。	我的生日是十月九日。	Mon anniversaire est le 9 octobre.	61fcce9217ed9c0237608eb3d81458f5.m4a	&#86;&#111;&#99;&#97;&#98;&#117;&#108;&#97;&#105;&#114;&#101; :|&#29983;&#26085; [&#115;&#104;&#275;&#110;&#103;&#114;&#236;] &#97;&#110;&#110;&#105;&#118;&#101;&#114;&#115;&#97;&#105;&#114;&#101;	1	
我出生于一九九五年六月二日。	我出生于一九九五年六月二日。	Je suis né(e) le 2 juin 1995.	9f2d544c328d1f6cc3f07bd42f5bb67d.m4a	&#86;&#111;&#99;&#97;&#98;&#117;&#108;&#97;&#105;&#114;&#101; :|&#20986;&#29983; [&#99;&#104;&#363;&#115;&#104;&#275;&#110;&#103;] &#110;&#97;&#238;&#116;&#114;&#101;|&#20110;　 [&#121;&#250;] &#101;&#110; (&#100;&#97;&#116;&#101;)	2	
我们不是同学。	我们不是同学。	Nous ne sommes pas camarades de classe.	5c7e4c2ada86d845a5fb82303d0bcb73.m4a	&#86;&#111;&#99;&#97;&#98;&#117;&#108;&#97;&#105;&#114;&#101; :|&#21516;&#23398; [&#116;&#243;&#110;&#103;&#120;&#117;&#233;] &#99;&#97;&#109;&#97;&#114;&#97;&#100;&#101; &#100;&#101; &#99;&#108;&#97;&#115;&#115;&#101;	1	
老师好。	老师好。	Bonjour, professeur.	14f1221fdbf63a5e6b132e63c7e773b0.m4a		0	
不用谢。	不用谢。	De rien (litt. inutile de remercier).	7ee40734644b4966895792287cfc68b1.m4a	&#86;&#111;&#99;&#97;&#98;&#117;&#108;&#97;&#105;&#114;&#101; :|&#19981;&#29992; [&#98;&#250;&#121;&#242;&#110;&#103;] &#105;&#110;&#117;&#116;&#105;&#108;&#101;, &#110;&#101; &#112;&#97;&#115; &#117;&#116;&#105;&#108;&#105;&#115;&#101;&#114;	1	
闭嘴！	闭嘴！	Ta gueule!	3aed650e910647e0c56fe5ba64ad2834.m4a		0	
我也是。	我也是。	Moi aussi.	3198b54d200fbb509a6546d45cbc2087.m4a	&#86;&#111;&#99;&#97;&#98;&#117;&#108;&#97;&#105;&#114;&#101; :|&#20063; [&#121;&#283;] &#97;&#117;&#115;&#115;&#105; (&#112;&#104;&#114;&#97;&#115;&#101; &#112;&#111;&#115;&#105;&#116;&#105;&#118;&#101;)	1	
我今天有空。	我今天有空。	J'ai du temps libre aujourd'hui.	3f483ba1c62861271d5d7971fad24853.m4a	&#86;&#111;&#99;&#97;&#98;&#117;&#108;&#97;&#105;&#114;&#101; :|&#20170;&#22825; [&#106;&#299;&#110;&#116;&#105;&#257;&#110;] &#97;&#117;&#106;&#111;&#117;&#114;&#100;'&#104;&#117;&#105;	1	
明天你有空吗？	明天你有空吗？	Est-ce que tu auras du temps libre demain ?	d6faa27c9a2e597d9d84a3580070005b.m4a	&#86;&#111;&#99;&#97;&#98;&#117;&#108;&#97;&#105;&#114;&#101; :|&#26126;&#22825; [&#109;&#237;&#110;&#103;&#116;&#105;&#257;&#110;] &#100;&#101;&#109;&#97;&#105;&#110;|&#26377;&#31354; [&#121;&#466;&#117;&#107;&#242;&#110;&#103;] &#97;&#118;&#111;&#105;&#114; &#100;&#117; &#116;&#101;&#109;&#112;&#115; &#108;&#105;&#98;&#114;&#101;	2	
你是大学生吗？	你是大学生吗？	Est-ce que tu es étudiant(e) (d'université) ?	6541b209209960b225aa2396fd920f1c.m4a		0	
学校里有一百六十七个学生。	学校里有一百六十七个学生。	L'école a cent soixante-sept étudiants.	01d8951379b71fb9942a075231c159da.m4a	&#86;&#111;&#99;&#97;&#98;&#117;&#108;&#97;&#105;&#114;&#101; :|&#19968;&#30334; [&#121;&#236;&#98;&#462;&#105;] &#99;&#101;&#110;&#116;|&#20845;　 [&#108;&#105;&#249;] |&#19971;　 [&#113;&#299;] 	3	
天空中有一个太阳和一个月亮。	天空中有一个太阳和一个月亮。	Il y a un soleil et une lune au milieu du ciel.	79b02c67afe7ec4d8f24464329274952.m4a	&#86;&#111;&#99;&#97;&#98;&#117;&#108;&#97;&#105;&#114;&#101; :|&#22825;&#31354; [&#116;&#105;&#257;&#110;&#107;&#333;&#110;&#103;] &#108;&#101; &#99;&#105;&#101;&#108;|&#20013;　 [&#122;&#104;&#333;&#110;&#103;] &#109;&#105;&#108;&#105;&#101;&#117;, &#99;&#101;&#110;&#116;&#114;&#101;, &#109;&#111;&#121;&#101;&#110;|&#22826;&#38451; [&#116;&#224;&#105;&#121;&#225;&#110;&#103;] &#108;&#101; &#115;&#111;&#108;&#101;&#105;&#108;|&#26376;&#20142; [&#121;&#117;&#232;&#108;&#105;&#224;&#110;&#103;] &#108;&#97; &#108;&#117;&#110;&#101;	4	
你的工作是什么？	你的工作是什么？	C'est quoi ton travail ?	e0bf87b64608780d01ce7e1d8dba561d.m4a	&#86;&#111;&#99;&#97;&#98;&#117;&#108;&#97;&#105;&#114;&#101; :|&#24037;&#20316; [&#103;&#333;&#110;&#103;&#122;&#117;&#242;] &#116;&#114;&#97;&#118;&#97;&#105;&#108;	1	
你吃饭了吗？	你吃饭了吗？	Est-ce que tu as déjà (fini de) mangé ?	9bdc0941f37069c9a7fc34ff6a2b5296.m4a	&#86;&#111;&#99;&#97;&#98;&#117;&#108;&#97;&#105;&#114;&#101; :|&#21507;&#39277; [&#99;&#104;&#299;&#102;&#224;&#110;] &#109;&#97;&#110;&#103;&#101;&#114;|&#20102;　 [&#108;&#101;] (&#112;&#97;&#114;&#116;&#105;&#99;&#117;&#108;&#101; &#100;&#101; &#108;'&#97;&#99;&#99;&#111;&#109;&#112;&#108;&#105;)	2	
哥哥也没有吃饭。	哥哥也没有吃饭。	Grand frère n'a pas mangé non plus.	346185b2ae044f6289b801cac9a38373.m4a	&#86;&#111;&#99;&#97;&#98;&#117;&#108;&#97;&#105;&#114;&#101; :|&#21733;&#21733; [&#103;&#275;&#103;&#101;] &#103;&#114;&#97;&#110;&#100; &#102;&#114;&#232;&#114;&#101;|&#20063;　 [&#121;&#283;] &#110;&#111;&#110; &#112;&#108;&#117;&#115; (&#112;&#104;&#114;&#97;&#115;&#101; &#110;&#233;&#103;&#97;&#116;&#105;&#118;&#101;)	2	
我和朋友们在学校。	我和朋友们在学校。	Mes ami(e)s et moi sommes à l'école.	a3cf4b22a9a18034d716cb926d3e4078.m4a		0	
六加三的和是九。	六加三的和是九。	La somme de six plus trois est neuf.	4319b052957c28eed48b07101a3c0277.m4a	&#86;&#111;&#99;&#97;&#98;&#117;&#108;&#97;&#105;&#114;&#101; :|&#21644; [&#104;&#233;] &#115;&#111;&#109;&#109;&#101;	1	
她爸爸妈妈的工作是大学老师。	她爸爸妈妈的工作是大学老师。	Ses parents sont professeurs d'université. (litt.: Le travail de ses parents est...)	118727d515046a32bb75f0b5e1d3a8cd.m4a	&#86;&#111;&#99;&#97;&#98;&#117;&#108;&#97;&#105;&#114;&#101; :|&#29240;&#29240; [&#98;&#224;&#98;&#97;] &#112;&#97;&#112;&#97;	1	
我没有兄弟姐妹。	我没有兄弟姐妹。	Je n'ai ni frère ni sœur.	124e040db6bff25f758d6e3d26594ea5.m4a	&#86;&#111;&#99;&#97;&#98;&#117;&#108;&#97;&#105;&#114;&#101; :|&#20804;&#24351; [&#120;&#105;&#333;&#110;&#103;&#100;&#236;] &#102;&#114;&#232;&#114;&#101;&#115;|&#22992;&#22969; [&#106;&#105;&#283;&#109;&#232;&#105;] &#115;&#339;&#117;&#114;&#115;	2	
他的双胞胎妹妹没有工作，她是大学生。	他的双胞胎妹妹没有工作，她是大学生。	Sa (petite) sœur jumelle n'a pas de travail, elle est étudiante.	39794e975b850ea5bafefe7f5d8bb634.m4a	&#86;&#111;&#99;&#97;&#98;&#117;&#108;&#97;&#105;&#114;&#101; :|&#20182;　　 [&#116;&#257;] &#105;&#108;, &#108;&#117;&#105;|&#20182;&#30340;　 [&#116;&#257;&#100;&#101;] &#115;&#111;&#110;, &#115;&#97;, &#115;&#101;&#115; (&#112;&#111;&#115;&#115;&#101;&#115;&#115;&#101;&#117;&#114; &#109;&#97;&#115;&#99;&#117;&#108;&#105;&#110;)|&#21452;&#32990;&#32974; [&#115;&#104;&#117;&#257;&#110;&#103;&#98;&#257;&#111;&#116;&#257;&#105;] &#106;&#117;&#109;&#101;&#97;&#117;&#120;, &#106;&#117;&#109;&#101;&#108;&#108;&#101;&#115;|&#22969;&#22969;　 [&#109;&#232;&#105;&#109;&#101;&#105;] &#112;&#101;&#116;&#105;&#116;&#101; &#115;&#339;&#117;&#114;|&#27809;&#26377;　 [&#109;&#233;&#105;&#121;&#466;&#117;] &#110;&#101; &#112;&#97;&#115; &#97;&#118;&#111;&#105;&#114;	5	
我的妈妈有两个姐姐和四个弟弟。	我的妈妈有两个姐姐和四个弟弟。	Ma maman a deux grandes sœurs et quatre petits frères.	68fdd1c09763c027ae8ca473553262b8.m4a	&#86;&#111;&#99;&#97;&#98;&#117;&#108;&#97;&#105;&#114;&#101; :|&#22920;&#22920; [&#109;&#257;&#109;&#97;] &#109;&#97;&#109;&#97;&#110;|&#26377;　 [&#121;&#466;&#117;] &#97;&#118;&#111;&#105;&#114;|&#20004;　 [&#108;&#105;&#462;&#110;&#103;] &#100;&#101;&#117;&#120; (&#110;&#117;&#109;&#233;&#114;&#97;&#108;)|&#22992;&#22992; [&#106;&#105;&#283;&#106;&#105;&#101;] &#103;&#114;&#97;&#110;&#100;&#101; &#115;&#339;&#117;&#114;|&#21644;　 [&#104;&#233;] &#101;&#116;, &#97;&#118;&#101;&#99;|&#24351;&#24351; [&#100;&#236;&#100;&#105;] &#112;&#101;&#116;&#105;&#116; &#102;&#114;&#232;&#114;&#101;	6	
你呢？	你呢？	Et toi ?	913660afabb08b1bd34093f7f0088700.m4a		0	
